datetime,inflow_temp,airtemp1day,airtemp2days,airtemp3days,airtemp4days,airtemp5days,airtemp6days,airtemp7days
2016-04-04,NA,13.6056354166667,9.64411041666668,10.9809090277778,13.3586927083333,13.7728608333333,12.743053125,12.402268452381
2016-04-05,NA,3.49021458333333,8.54792500000002,7.59281180555557,9.10823541666668,11.3849970833333,12.0590864583333,11.421219047619
2016-04-06,NA,3.94821458333333,3.71921458333333,7.01468819444445,6.68166250000001,8.07623125000001,10.1455333333333,10.9003904761905
2016-04-07,NA,10.44373125,7.19597291666667,5.96072013888889,7.87194895833334,7.43407625000001,8.47081458333334,10.1881330357143
2016-04-08,NA,6.59263541666667,8.51818333333333,6.99486041666667,6.11869895833333,7.61608625000001,7.29383611111112,8.20250327380953
2016-04-09,NA,3.44973125,5.02118333333333,6.82869930555556,6.108578125,5.58490541666667,6.92169375000001,6.74467827380953
2016-04-10,NA,2.22021041666667,2.83497083333333,4.08752569444445,5.67657708333333,5.33090458333333,5.02412291666667,6.25005327380953
2016-04-11,NA,12.5071125,7.36366145833333,6.05901805555556,6.19242239583333,7.04268416666667,6.52693923611111,6.09312142857143
2016-04-12,NA,15.82454375,14.165828125,10.1839555555556,8.50039947916667,8.11884666666667,8.50632743055556,7.85516845238095
2016-04-13,NA,6.83433541666667,11.3294395833333,11.7219972222222,9.34655052083333,8.16718666666667,7.90476145833333,8.26747142857143
2016-04-14,NA,9.10032291666667,7.96732916666667,10.5864006944444,11.0665786458333,9.297305,8.322709375,8.07555595238095
2016-04-15,NA,10.9208833333333,10.010603125,8.95184722222221,10.6700213541667,11.0374395833333,9.56790138888888,8.69387708333333
2016-04-16,NA,12.1067958333333,11.5138395833333,10.7093340277778,9.74058437499998,10.95737625,11.215665625,9.93060059523809
2016-04-17,NA,14.2964520833333,13.2016239583333,12.4413770833333,11.6061135416666,10.6517579166666,11.5138888888889,11.6557779761905
2016-04-18,NA,17.3863520833333,15.8414020833333,14.5965333333333,13.6776208333333,12.76216125,11.7741902777778,12.3528122023809
2016-04-19,NA,18.1664729166667,17.7764125,16.6164256944444,15.4890182291666,14.57539125,13.6628798611111,12.6873735119047
2016-04-20,NA,14.7272125,16.4468427083333,16.7600125,16.1441223958333,15.3366570833333,14.6006947916666,13.8149273809524
2016-04-21,NA,15.7273666666667,15.2272895833334,16.2070173611111,16.5018510416667,16.06077125,15.4017753472222,14.7616479166667
2016-04-22,NA,18.15510625,16.9412364583333,16.2032284722222,16.6940395833333,16.8325020833333,16.4098270833333,15.7951083333333
2016-04-23,NA,15.2046958333333,16.6799010416666,16.3623895833333,15.9535953125,16.3961708333333,16.5612010416667,16.2376654761905
2016-04-24,NA,11.5998020833333,13.4022489583333,14.9865347222222,15.1717427083333,15.0828366666667,15.5967760416667,15.8524297619048
2016-04-25,NA,16.6432479166667,14.121525,14.4825819444444,15.4007130208333,15.46604375,15.3429052083333,15.7462720238095
2016-04-26,NA,20.3964229166667,18.5198354166667,16.2131576388889,15.9610421875,16.399855,16.2877736111111,16.0648363095238
2016-04-27,NA,15.5795583333333,17.987990625,17.5397430555556,16.0547578125,15.8847454166667,16.2631388888889,16.1866
2016-04-28,NA,11.993475,13.7865166666666,15.98981875,16.1531760416667,15.24250125,15.2362003472222,15.6531869047619
2016-04-29,NA,9.39959166666667,10.6965333333333,12.3242083333333,14.3422619791667,14.8024591666667,14.2686829861111,14.4023991071429
2016-04-30,NA,11.1731958333333,10.28639375,10.8554208333333,12.0364552083333,13.70844875,14.1975819444444,13.8264705357143
2016-05-01,NA,12.0563145833333,11.6147552083333,10.8763673611111,11.1556442708333,12.0404270833333,13.4330930555555,13.8916866071429
2016-05-02,NA,17.4139770833333,14.7351458333333,13.5478291666666,12.5107697916666,12.4073108333333,12.93601875,14.0017907738095
2016-05-03,NA,16.5229729166667,16.968475,15.3310881944444,14.2916151041667,13.3132104166667,13.0932545138889,13.4484407738095
2016-05-04,NA,13.2356375,14.8793052083333,15.7241958333333,14.8072255208333,14.0804195833333,13.3002815972222,13.1135949404762
2016-05-05,NA,10.4065604166667,11.8210989583333,13.3883902777778,14.3947869791667,13.9270925,13.4681097222222,12.8868928571429
2016-05-06,NA,9.87067708333333,10.13861875,11.1709583333333,12.5089619791667,13.489965,13.2510232638889,12.9541907738095
2016-05-07,NA,11.37235,10.6215135416667,10.5498625,11.22130625,12.2816395833333,13.1370291666667,12.9826413690476
2016-05-08,NA,15.0531291666667,13.2127395833334,12.09871875,11.6756791666667,11.9876708333333,12.7435545138889,13.4107577380952
2016-05-09,NA,11.4630833333333,13.25810625,12.6295208333333,11.9398098958333,11.63316,11.9002395833333,12.5606300595238
2016-05-10,NA,13.45745,12.4602666666666,13.3245541666667,12.836503125,12.2433379166667,11.9372083333333,12.1226982142857
2016-05-11,NA,13.5784229166667,13.5179364583333,12.8329854166667,13.3880213541667,12.9848870833333,12.4658520833333,12.1716675595238
2016-05-12,NA,15.128575,14.3534989583334,14.0548159722222,13.4068828125,13.7361320833333,13.3421684027778,12.8462410714286
2016-05-13,NA,17.71976875,16.424171875,15.4755888888889,14.9710541666667,14.26946,14.4000715277778,13.9675398809524
2016-05-14,NA,13.4750854166667,15.5974270833334,15.4411430555556,14.9754630208333,14.6718604166667,14.1370642361111,14.2679306547619
2016-05-15,NA,9.7227375,11.5989114583333,13.6391972222222,14.0115416666667,13.9249179166667,13.8470065972222,13.5064461309524
2016-05-16,NA,10.0780375,9.9003875,11.0919534722222,12.7489072916667,13.2248408333333,13.2837711805556,13.3085824404762
2016-05-17,NA,10.5075,10.29276875,10.1027583333333,10.9458401041667,12.3006258333333,12.7719506944444,12.8871610119048
2016-05-18,NA,10.8128916666667,10.6601958333334,10.4661430555556,10.2802916666667,10.9192504166667,12.0526701388889,12.4920851190476
2016-05-19,NA,13.346525,12.0797083333334,11.5556388888889,11.1862385416667,10.8935383333333,11.3237961805556,12.2375065476191
2016-05-20,NA,14.2804208333333,13.8134729166667,12.8132791666667,12.236834375,11.805075,11.45801875,11.7461711309524
2016-05-21,NA,12.56686875,13.4236447916666,13.3979381944444,12.7516765625,12.30284125,11.932040625,11.6164258928571
2016-05-22,NA,10.934175,11.750521875,12.5938215277778,12.7819973958333,12.38817625,12.0747302083333,11.7894883928571
2016-05-23,NA,14.2974125,12.61579375,12.5994854166667,13.0197192708333,13.0850804166667,12.7063822916667,12.39225625
2016-05-24,NA,17.2247229166667,15.7610677083333,14.1521034722222,13.7557947916667,13.86072,13.7750208333333,13.3518595238095
2016-05-25,NA,18.9022229166667,18.0634729166667,16.8081194444445,15.3396333333333,14.7850804166667,14.7009704861111,14.5074782738095
2016-05-26,NA,20.4767666666667,19.6894947916667,18.8679041666667,17.72528125,16.36706,15.7336947916667,15.5260842261905
2016-05-27,NA,22.21178125,21.3442739583333,20.5302569444445,19.7038734375,18.62258125,17.3411802083333,16.6591357142857
2016-05-28,NA,22.5227791666667,22.3672802083334,21.7371090277778,21.0283875,20.2676545833334,19.2726142361111,18.0814086309524
2016-05-29,NA,21.0411229166667,21.7819510416667,21.9252277777778,21.5631125,21.0309345833334,20.3965659722223,19.5252583333334
2016-05-30,NA,20.9873895833333,21.01425625,21.5170972222222,21.6907682291667,21.4479679166667,21.0236770833334,20.4809693452381
2016-05-31,NA,21.8448895833333,21.4161395833333,21.2911340277778,21.5990453125,21.7215925,21.5141215277778,21.1409931547619
2016-06-01,NA,21.3886875,21.6167885416667,21.4069888888889,21.3155223958333,21.55697375,21.6661083333333,21.4962023809524
2016-06-02,NA,21.6815833333333,21.5351354166666,21.6383868055555,21.4756375,21.3887345833333,21.5777420138889,21.668319047619
2016-06-03,NA,21.6312854166667,21.656434375,21.5671854166667,21.6366114583333,21.5067670833333,21.4291597222222,21.5853910714286
2016-06-04,NA,22.17518125,21.9032333333334,21.82935,21.719184375,21.7443254166667,21.6181694444444,21.5357342261905
2016-06-05,NA,21.2043270833333,21.6897541666667,21.6702645833333,21.6730942708333,21.6162129166667,21.6543256944444,21.5590491071428
2016-06-06,NA,21.2297770833333,21.2170520833333,21.5364284722222,21.5601427083333,21.5844308333333,21.5518069444444,21.5936758928571
2016-06-07,NA,20.6129,20.9213385416666,21.0156680555555,21.3055463541667,21.3706941666667,21.4225090277778,21.4176773809524
2016-06-08,NA,16.718825,18.6658625,19.5205006944444,19.9414572916667,20.3882020833333,20.5953826388889,20.7505541666667
2016-06-09,NA,16.9378625,16.82834375,18.0898625,18.8748411458333,19.3407383333333,19.8131454861111,20.0728797619048
2016-06-10,NA,18.2778666666667,17.6078645833334,17.3115180555556,18.1368635416667,18.75544625,19.1635930555556,19.5938199404762
2016-06-11,NA,22.877525,20.5776958333334,19.3644180555556,18.7030197916667,19.0849958333333,19.442459375,19.6941547619048
2016-06-12,NA,25.4623354166667,24.1699302083333,22.2059090277778,20.8888973958334,20.0548829166667,20.1478857638889,20.3024416666667
2016-06-13,NA,19.2503604166667,22.3563479166667,22.5300736111111,21.467021875,20.56119,19.9207958333334,20.0196678571429
2016-06-14,NA,17.03405,18.1422052083334,20.5822486111111,21.1560677083333,20.5804275,19.9733333333334,19.5084035714286
2016-06-15,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,NA,25.617715,NA,NA,NA,NA,NA,NA
2016-06-17,NA,18.27741,21.9475625,NA,NA,NA,NA,NA
2016-06-18,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-19,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-20,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-21,NA,22.3241222222222,NA,NA,NA,NA,NA,NA
2016-06-22,NA,20.82234375,21.5732329861111,NA,NA,NA,NA,NA
2016-06-23,NA,19.709485106383,20.2659144281915,20.9519836928684,NA,NA,NA,NA
2016-06-24,NA,20.7817041666667,20.2455946365248,20.4378443410166,20.909413811318,NA,NA,NA
2016-06-25,NA,20.9642958333333,20.873,20.4851617021277,20.5694572140957,20.920390215721,NA,NA
2016-06-26,NA,21.2035104166667,21.083903125,20.9831701388889,20.6647488807624,20.6962678546099,20.9675769158786,NA
2016-06-27,NA,21.3841583333333,21.293834375,21.1839881944444,21.0834171875,20.8086307712766,20.8109162677305,21.0270885469436
2016-06-28,NA,22.2302770833333,21.8072177083333,21.6059819444444,21.4455604166666,21.3127891666667,21.045571823286,21.0136820985309
2016-06-29,NA,19.778525,21.0044010416666,21.1309868055555,21.1491177083333,21.1121533333333,21.0570784722222,20.8645651342452
2016-06-30,NA,18.1378354166667,18.9581802083333,20.0488791666667,20.3826989583333,20.54686125,20.6164336805555,20.64004375
2016-07-01,NA,20.9185395833333,19.5281875,19.6116333333333,20.2662942708333,20.4898670833333,20.6088076388889,20.6595916666667
2016-07-02,NA,19.2097770833333,20.0641583333333,19.4220506944444,19.5111692708333,20.0549908333333,20.27651875,20.4089461309524
2016-07-03,NA,17.8263833333333,18.5180802083333,19.3182333333333,19.0231338541667,19.1742120833333,19.68355625,19.9264994047619
2016-07-04,NA,18.5174958333333,18.1719395833333,18.5178854166666,19.1180489583333,18.92200625,19.064759375,19.5169761904762
2016-07-05,NA,22.30810625,20.4128010416667,19.5506618055555,19.465440625,19.7560604166666,19.48635625,19.5280946428571
2016-07-06,NA,23.4509958333333,22.8795510416667,21.4255326388889,20.5257453125,20.2625516666666,20.3718829861111,20.0527333333333
2016-07-07,NA,23.3487145833333,23.3998552083333,23.0359388888889,21.906328125,21.0903391666666,20.7769121527778,20.7971446428571
2016-07-08,NA,22.83955625,23.0941354166667,23.2130888888889,22.9868432291667,22.09297375,21.3818753472222,21.0715755952381
2016-07-09,NA,22.8254270833333,22.8324916666666,23.0045659722222,23.1161734375,22.95456,22.2150493055555,21.5880970238095
2016-07-10,NA,21.040275,21.9328510416667,22.2350861111111,22.5134932291666,22.70099375,22.6355125,22.0472244047619
2016-07-11,NA,20.3028604166667,20.6715677083333,21.3895208333333,21.7520296875,22.0713666666667,22.3013048611111,22.3022764880952
2016-07-12,NA,22.5766729166667,21.4397666666667,21.3066027777778,21.6863088541667,21.9169583333333,22.155584375,22.3406431547619
2016-07-13,NA,24.2046916666667,23.3906822916667,22.3614083333334,22.031125,22.1899854166667,22.2982472222222,22.4483139880952
2016-07-14,NA,24.6861291666667,24.4454104166667,23.8224979166667,22.9425885416667,22.5621258333334,22.606009375,22.6393732142857
2016-07-15,NA,23.2167354166667,23.9514322916667,24.0358520833334,23.6710572916667,22.9974179166667,22.6712274305556,22.693255952381
2016-07-16,NA,21.6563645833333,22.43655,23.1864097222222,23.4409802083334,23.26811875,22.7739090277778,22.5262470238095
2016-07-17,NA,21.398375,21.5273697916667,22.0904916666667,22.7394010416667,23.0324591666667,22.9564947916667,22.5774041666667
2016-07-18,NA,22.5077708333333,21.9530729166666,21.8541701388889,22.1948114583333,22.693075,22.9450111111111,22.8923913690476
2016-07-19,NA,22.1008666666667,22.30431875,22.0023375,21.9158442708333,22.1760225,22.5943736111111,22.8244190476191
2016-07-20,NA,20.8220729166667,21.4614697916667,21.8102368055556,21.7072713541667,21.69709,21.9503642361111,22.3411877976191
2016-07-21,NA,20.5437083333333,20.682890625,21.1555493055556,21.4936046875,21.47455875,21.5048597222222,21.7494133928571
2016-07-22,NA,23.0139541666667,21.77883125,21.4599118055556,21.6201505208333,21.7976745833333,21.7311246527778,21.7204446428571
2016-07-23,NA,24.5789291666667,23.7964416666667,22.7121972222222,22.2396661458334,22.21190625,22.2612170138889,22.1379538690476
2016-07-24,NA,24.8863375,24.7326333333334,24.1597402777778,23.2557322916667,22.7690004166667,22.6576447916667,22.6362342261905
2016-07-25,NA,25.7518875,25.3191125,25.0723847222222,24.5577770833333,23.7549633333333,23.2661482638889,23.0996794642857
2016-07-26,NA,24.891675,25.32178125,25.1766333333333,25.0272072916667,24.6245566666667,23.9444152777778,23.4983663690476
2016-07-27,NA,24.3299729166667,24.6108239583333,24.9911784722222,24.9649682291667,24.8877604166667,24.575459375,23.9994949404762
2016-07-28,NA,22.3923958333333,23.361184375,23.8713479166667,24.3414828125,24.45045375,24.4718663194445,24.2635931547619
2016-07-29,NA,21.8536791666667,22.1230375,22.8586826388889,23.3669307291667,23.8439220833333,24.0176579861111,24.0978395833333
2016-07-30,NA,22.534525,22.1941020833333,22.2602,22.7776432291667,23.2004495833333,23.6256892361111,23.8057818452381
2016-07-31,NA,22.2859145833333,22.4102197916666,22.22470625,22.2666286458333,22.6792975,23.0480270833333,23.4342928571429
2016-08-01,NA,22.5602791666667,22.423096875,22.4602395833333,22.3085994791667,22.32535875,22.6594611111111,22.9783488095238
2016-08-02,NA,22.536825,22.5485520833333,22.46100625,22.4793859375,22.3542445833333,22.360603125,22.6419416666667
2016-08-03,NA,21.8687083333333,22.2027666666666,22.3219375,22.3129317708333,22.3572504166667,22.273321875,22.2903324404762
2016-08-04,NA,21.4717833333333,21.6702458333333,21.9591055555555,22.1093989583333,22.1447020833333,22.2096725694444,22.1588163690476
2016-08-05,NA,21.6212666666667,21.546525,21.6539194444444,21.8746458333333,22.0117725,22.0574628472222,22.1256145833333
2016-08-06,NA,23.1908,22.4060333333333,22.0946166666667,22.0381395833333,22.1378766666667,22.2082770833333,22.2193681547619
2016-08-07,NA,20.5283708333333,21.8595854166667,21.7801458333333,21.7030552083333,21.7361858333333,21.8696256944444,21.9682904761905
2016-08-08,NA,19.5764645833333,20.0524177083333,21.0985451388889,21.2292255208333,21.2777370833333,21.3762322916666,21.54203125
2016-08-09,NA,19.474625,19.5255447916667,19.8598201388889,20.6925651041667,20.8783054166667,20.9772184027778,21.1045741071428
2016-08-10,NA,23.9438659574468,21.7092454787234,20.9983185135934,20.8808315935283,21.3428252748227,21.3892321734633,21.4010251963019
2016-08-11,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-12,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-13,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-14,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-15,NA,25.0243636363636,NA,NA,NA,NA,NA,NA
2016-08-16,NA,23.3651041666667,24.1947339015151,NA,NA,NA,NA,NA
2016-08-17,NA,23.8906645833333,23.627884375,24.0933774621212,NA,NA,NA,NA
2016-08-18,NA,22.1184604166667,23.0045625,23.1247430555556,23.5996482007576,NA,NA,NA
2016-08-19,NA,21.64490625,21.8816833333333,22.55134375,22.7547838541667,23.2086998106061,NA,NA
2016-08-20,NA,22.28444375,21.964675,22.0159368055556,22.48461875,22.6607158333333,23.0546571338384,NA
2016-08-21,NA,22.6968958333333,22.4906697916667,22.2087486111111,22.1861765625,22.5270741666667,22.6667458333333,23.0035483766234
2016-08-22,NA,18.53740625,20.6171510416667,21.1729152777778,21.2909130208333,21.4564225,21.8621295138889,22.0768401785714
2016-08-23,NA,18.0436229166667,18.2905145833333,19.7593083333333,20.3905921875,20.641455,20.8876225694444,21.3166285714286
2016-08-24,NA,21.04170625,19.5426645833333,19.2075784722222,20.0799078125,20.520815,20.7081635416667,20.9096345238095
2016-08-25,NA,22.7809854166667,21.9113458333333,20.6221048611111,20.1009302083333,20.6201233333333,20.8975100694445,21.004280952381
2016-08-26,NA,24.00488125,23.3929333333333,22.6091909722222,21.4677989583334,20.8817204166667,21.1842496527778,21.3414202380952
2016-08-27,NA,23.0256291666667,23.5152552083334,23.2704986111111,22.7133005208334,21.779365,21.2390385416667,21.4473038690476
2016-08-28,NA,22.77295625,22.8992927083333,23.2678222222222,23.1461130208334,22.7252316666667,21.9449635416667,21.4581696428572
2016-08-29,NA,22.2140375,22.493496875,22.6708743055556,23.0043760416667,22.9596979166667,22.6400326388889,21.9834026785714
2016-08-30,NA,21.3276666666667,21.7708520833334,22.1048868055556,22.3350723958334,22.6690341666667,22.6876927083334,22.4525517857143
2016-08-31,NA,22.4571,21.8923833333333,21.9996013888889,22.1929401041667,22.3594779166667,22.6337118055556,22.6547508928572
2016-09-01,NA,21.1759291666667,21.8165145833334,21.6535652777778,21.7936833333334,21.9895379166667,22.1622197916667,22.4254571428572
2016-09-02,NA,17.6748666666667,19.4253979166667,20.4359652777778,20.658890625,20.96992,21.2704260416667,21.5211693452381
2016-09-03,NA,17.1302125,17.4025395833334,18.6603361111111,19.6095270833334,19.953155,20.32996875,20.6789669642857
2016-09-04,NA,18.1369125,17.6335625,17.6473305555556,18.5294802083334,19.3150041666667,19.6504479166667,20.016675
2016-09-05,NA,17.2626020833333,17.6997572916666,17.5099090277778,17.5511484375,18.2761045833333,18.9729371527778,19.3093270833333
2016-09-06,NA,19.7732145833333,18.5179083333333,18.3909097222222,18.0757354166666,17.9955616666667,18.5256229166667,19.0872625
2016-09-07,NA,21.7886833333333,20.7809489583333,19.6081666666666,19.240353125,18.818325,18.6277486111111,18.9917744047619
2016-09-08,NA,23.1794520833333,22.4840677083333,21.58045,20.5009880208333,20.0281729166666,19.5451795138889,19.2779919642857
2016-09-09,NA,23.4237125,23.3015822916666,22.7972826388889,22.041265625,21.0855329166666,20.5940961805555,20.0992556547619
2016-09-10,NA,24.565375,23.99454375,23.7228465277778,23.2393057291666,22.5460875,21.6655065972222,21.1614217261905
2016-09-11,NA,22.8290875,23.69723125,23.6060583333333,23.4994067708333,23.1572620833333,22.5932541666667,21.8317324404762
2016-09-12,NA,17.3775166666667,20.1033020833334,21.5906597222222,22.0489229166667,22.27502875,22.1939711805556,21.8481488095238
2016-09-13,NA,21.3652729166667,19.3713947916667,20.5239590277778,21.5343130208334,21.9121929166667,22.1234027777778,22.0755857142857
2016-09-14,20.15129167,21.73170625,21.5484895833333,20.1581652777778,20.8258958333333,21.5737916666667,21.8821118055556,22.0674461309524
2016-09-15,18.90114583,18.9661104166667,20.3489083333333,20.6876965277778,19.8601515625,20.45393875,21.139178125,21.4655401785714
2016-09-16,18.47060417,18.6988416666667,18.8324760416667,19.7988861111111,20.1904828125,19.6278895833334,20.1614225694445,20.7905586309524
2016-09-17,18.7035625,20.3239708333333,19.51140625,19.3296409722222,19.9301572916667,20.2171804166667,19.743903125,20.18464375
2016-09-18,19.8271875,21.6050458333333,20.9645083333333,20.2092861111111,19.8984921875,20.265135,20.4484913194445,20.0097806547619
2016-09-19,19.94604167,20.3771645833333,20.9911052083333,20.7687270833333,20.2512557291667,19.9942266666667,20.2838065972222,20.4383017857143
2016-09-20,19.51416667,19.8354208333333,20.1062927083333,20.6058770833333,20.5354005208333,20.16808875,19.9677590277778,20.2197514880952
2016-09-21,19.1438125,19.0317583333333,19.4335895833333,19.7481145833333,20.2123473958333,20.2346720833333,19.9787003472222,19.8340446428571
2016-09-22,18.802,18.6371270833333,18.8344427083333,19.1681020833333,19.4703677083333,19.8973033333333,19.9684145833333,19.7870470238095
2016-09-23,18.29697917,18.62623125,18.6316791666667,18.7650388888889,19.032634375,19.3015404166666,19.6854579861111,19.7766741071428
2016-09-24,18.88725,19.2931979166667,18.9597145833334,18.8521854166667,18.8970786458333,19.0847470833333,19.30015,19.6294208333333
2016-09-25,17.0175625,15.2912375,17.2922177083334,17.7368888888889,17.9619484375,18.1759104166667,18.4524954861111,18.7274482142857
2016-09-26,16.19489583,15.8537875,15.5725125,16.8127409722222,17.2661135416667,17.54031625,17.7888899305555,18.0812514880952
2016-09-27,NA,17.0220895833333,16.4379385416667,16.0557048611111,16.865078125,17.21730875,17.4539451388889,17.6793470238095
2016-09-28,16.84508333,16.45206875,16.7370791666666,16.4426486111111,16.1547958333333,16.78247625,17.08976875,17.3108199404762
2016-09-29,17.37225,17.6726583333333,17.0623635416666,17.0489388888889,16.7501510416666,16.4583683333333,16.9308399305555,17.1730386904762
2016-09-30,16.81977083,15.0179520833333,16.3453052083333,16.3808930555555,16.5411921875,16.40371125,16.2182989583333,16.6575702380952
2016-10-01,NA,14.83759375,14.9277729166667,15.8427347222222,15.9950682291666,16.2004725,16.1426916666667,16.0210553571428
2016-10-02,16.77739583,16.7079583333333,15.7727760416666,15.5211680555555,16.059040625,16.13764625,16.2850534722222,16.223444047619
2016-10-03,16.51095833,15.8519625,16.2799604166667,15.7991715277778,15.6038666666667,16.017625,16.0900322916666,16.2231833333333
2016-10-04,15.429375,14.1793291666667,15.0156458333334,15.57975,15.3942109375,15.3189591666667,15.7112423611111,15.8170747023809
2016-10-05,15.32429167,14.1833458333333,14.1813375,14.7382125,15.2306489583333,15.1520379166667,15.1296902777778,15.4929714285714
2016-10-06,14.22325,12.44643125,13.3148885416667,13.6030354166667,14.1652671875,14.6738054166667,14.7011034722222,14.7463675595238
2016-10-07,15.05354167,14.9569145833333,13.7016729166666,13.8622305555555,13.9415052083333,14.3235966666667,14.7209902777778,14.7376479166667
2016-10-08,NA,15.9130208333333,15.4349677083333,14.4387888888889,14.374928125,14.3358083333333,14.5885006944444,14.8912803571428
2016-10-09,14.10931111,12.6860291666667,14.299525,14.5186548611111,14.0005989583333,14.0371483333333,14.0608451388889,14.316719047619
2016-10-10,12.152125,9.89147083333333,11.28875,12.8301736111111,13.3618588541667,13.1787733333333,13.3462020833333,13.4652202380952
2016-10-11,10.83670833,8.45461666666667,9.17304375,10.3440388888889,11.736284375,12.3804104166667,12.3914138888889,12.6474041666667
